Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
5/10/2022,294365,163061,180735,25647,38663,16258,33494,11802,18167,10811,0,25739,1188,3001
5/3/2022,286746,157927,181275,23958,39966,17554,35178,7619,16471,12306,445,20661,2691,2755
4/26/2022,295100,161387,182840,25267,37679,21320,32857,8106,16309,11207,549,25028,1725,3269
4/19/2022,291517,156897,181142,24885,37544,22036,34800,6665,13809,11164,614,26295,1631,3412
4/12/2022,294885,157986,181454,23802,37666,23184,33645,7227,13460,12419,727,27656,2733,3511
4/5/2022,292638,161762,177020,26596,37329,22281,28129,10992,12821,11554,586,28333,1162,3276
3/29/2022,294377,166287,181880,26275,38181,22717,29692,12084,9836,12425,672,25848,1297,3159
3/22/2022,299497,172088,181751,27314,38152,22164,27402,15341,11979,11566,463,26266,718,3381
3/15/2022,306159,177258,187605,24234,40084,24574,30339,11529,12717,10529,859,25542,966,3249
3/8/2022,314910,184966,188146,21874,41829,24853,30512,18013,13862,12381,715,24726,1736,2766
3/1/2022,320189,183920,192231,23708,37493,23841,34243,19885,16633,10652,1299,25239,1953,3568
2/22/2022,327370,183071,216034,24914,24111,28707,35749,12464,17495,11613,1293,24356,1465,2910
2/15/2022,320846,174352,215888,21482,24387,28429,40925,7619,15888,11598,193,25861,2311,2581
2/8/2022,314583,177831,224187,26011,13044,20829,32542,9264,14914,9877,362,29906,2673,2077
2/1/2022,315157,184183,233095,36862,13005,9616,30343,13062,13535,8638,307,29583,2397,2954
1/25/2022,312441,177263,232143,40811,11923,8749,33365,14407,13724,8806,971,27709,2014,2815
1/18/2022,301742,179010,225938,37709,11732,9487,28063,14983,9968,8434,528,26429,2642,2677
1/11/2022,307239,184983,216377,42568,12420,8481,26640,32243,9110,8610,561,25027,1820,3020
1/4/2022,308277,186234,213799,43986,13871,7727,25570,34558,8734,8625,711,25713,1688,3164
12/28/2021,306597,188841,217209,40495,8366,8187,25200,35474,8285,8520,494,25473,1596,3109
12/21/2021,302093,186375,212925,39237,8392,7840,25389,36157,7478,8639,501,25556,1579,3244
12/14/2021,309388,192691,216421,39193,7828,8762,24324,37629,7089,8904,649,27380,1045,3630
12/7/2021,310240,193654,216848,38338,8211,9601,23991,36867,7878,8548,598,26907,1323,3330
